sample_id,project,library_id,robot_id,library_type,archive_sample_id,core_id,depth_cm,age_raw,age_value,age_min,age_max,age_error,age_unit,site,geographic_location,latitude,longitude,shotgun_qc,capture1_qc,capture2_qc,shotgun_asian_input_reads,shotgun_asian_extract_reads,shotgun_asian_besthit_reads,shotgun_asian_mapped_reads,shotgun_asian_dedup_reads,shotgun_irgsp_input_reads,shotgun_irgsp_extract_reads,shotgun_irgsp_besthit_reads,shotgun_irgsp_mapped_reads,shotgun_irgsp_dedup_reads,capture1_asian_input_reads,capture1_asian_extract_reads,capture1_asian_besthit_reads,capture1_asian_mapped_reads,capture1_asian_dedup_reads,capture1_irgsp_input_reads,capture1_irgsp_extract_reads,capture1_irgsp_besthit_reads,capture1_irgsp_mapped_reads,capture1_irgsp_dedup_reads,capture2_asian_input_reads,capture2_asian_extract_reads,capture2_asian_besthit_reads,capture2_asian_mapped_reads,capture2_asian_dedup_reads,capture2_irgsp_input_reads,capture2_irgsp_extract_reads,capture2_irgsp_besthit_reads,capture2_irgsp_mapped_reads,capture2_irgsp_dedup_reads,count_note,shotgun_oldnew_route_status,capture1_duplicate_status,capture1_duplicate_candidate_a_counts,capture1_duplicate_candidate_b_counts,capture2_duplicate_status,capture2_duplicate_candidate_a_counts,capture2_duplicate_candidate_b_counts,count_sources,coordinate_status,coordinate_source,coordinate_note
LV3000765846,angkor,LV3000765846,LV7008416342,ss,LV3006007310,CAM23-13,10,1451 CE (model year),1451,1451,1451,,CE,"Northern Temple Moat, Angkor Wat","Northern Temple Moat, Angkor Wat; Cambodia",13.413,103.864639,Qualified; historical collapsed available; extract count available,,,,,,,,,105,49,47,47,,,,,,,,,,,,,,,,,,,,,现有路线计数填入 extract,,,,,,,,sample_reads_wide.tsv (v1); pipeline_reads_extract_besthit.tsv; irgsp_dedup_bam_reads.tsv,reported_in_cam_metadata,"sample_meta_data_20250922.tsv: field_sample_id@field_sample, latitude, longitude",Exact coordinate reported for Angkor core CAM23-13; independently reproduced in angkor_final_metadata.tsv
LV7001884436,angkor,LV7001884436,LV7005225829,ds,LV3005273250,CAM22-08,44.5,,,,,,,"Angkor Thom Temple Moat, Angkor","Angkor Thom Temple Moat, Angkor; Cambodia",13.42725,103.844722,Qualified; historical collapsed available; extract count available,,,,,,,,,15994,8311,7731,7671,,,,,,,,,,,,,,,,,,,,,现有路线计数填入 extract,,,,,,,,sample_reads_wide.tsv (v1); pipeline_reads_extract_besthit.tsv; irgsp_dedup_bam_reads.tsv,reported_in_cam_metadata,"sample_meta_data_20250922.tsv: field_sample_id@field_sample, latitude, longitude",Exact coordinate reported for Angkor core CAM22-08; independently reproduced in angkor_final_metadata.tsv
LV7001884448,angkor,LV7001884448,LV7005225785,ds,LV3005273235,CAM22-08,49,,,,,,,"Angkor Thom Temple Moat, Angkor","Angkor Thom Temple Moat, Angkor; Cambodia",13.42725,103.844722,Qualified; historical collapsed available; extract count available,,,,,,,,,6285,3295,3097,3061,,,,,,,,,,,,,,,,,,,,,现有路线计数填入 extract,,,,,,,,sample_reads_wide.tsv (v1); pipeline_reads_extract_besthit.tsv; irgsp_dedup_bam_reads.tsv,reported_in_cam_metadata,"sample_meta_data_20250922.tsv: field_sample_id@field_sample, latitude, longitude",Exact coordinate reported for Angkor core CAM22-08; independently reproduced in angkor_final_metadata.tsv
LV7001884449,angkor,LV7001884449,LV7005225803,ds,LV3005573878,CAM2201,66,,,,,,,"West Baray, Angkor","West Baray, Angkor; Cambodia",13.427556,103.766056,Qualified; historical collapsed available; extract count available,,,,,,,,,107,33,29,29,,,,,,,,,,,,,,,,,,,,,现有路线计数填入 extract,,,,,,,,sample_reads_wide.tsv (v1); pipeline_reads_extract_besthit.tsv; irgsp_dedup_bam_reads.tsv,reported_in_cam_metadata,"sample_meta_data_20250922.tsv: field_sample_id@field_sample, latitude, longitude",Exact coordinate reported for Angkor core CAM2201; independently reproduced in angkor_final_metadata.tsv
LV7001884491,angkor,LV7001884491,LV7005225812,ds,LV3005273242,CAM22-08,46,,,,,,,"Angkor Thom Temple Moat, Angkor","Angkor Thom Temple Moat, Angkor; Cambodia",13.42725,103.844722,Qualified; historical collapsed available; extract count available,,,,,,,,,14871,7355,6812,6736,,,,,,,,,,,,,,,,,,,,,现有路线计数填入 extract,,,,,,,,sample_reads_wide.tsv (v1); pipeline_reads_extract_besthit.tsv; irgsp_dedup_bam_reads.tsv,reported_in_cam_metadata,"sample_meta_data_20250922.tsv: field_sample_id@field_sample, latitude, longitude",Exact coordinate reported for Angkor core CAM22-08; independently reproduced in angkor_final_metadata.tsv
LV7001887833,angkor,LV7001887833,LV7005225825,ds,LV3005273246,CAM22-08,43,,,,,,,"Angkor Thom Temple Moat, Angkor","Angkor Thom Temple Moat, Angkor; Cambodia",13.42725,103.844722,Qualified; historical collapsed available; extract count available,,,,,,,,,11352,5916,5482,5446,,,,,,,,,,,,,,,,,,,,,现有路线计数填入 extract,,,,,,,,sample_reads_wide.tsv (v1); pipeline_reads_extract_besthit.tsv; irgsp_dedup_bam_reads.tsv,reported_in_cam_metadata,"sample_meta_data_20250922.tsv: field_sample_id@field_sample, latitude, longitude",Exact coordinate reported for Angkor core CAM22-08; independently reproduced in angkor_final_metadata.tsv
LV7001888062,angkor,LV7001888062,LV7008416271,ss,LV3006006402,CAM23-13,63,1206 CE (model year),1206,1206,1206,,CE,"Northern Temple Moat, Angkor Wat","Northern Temple Moat, Angkor Wat; Cambodia",13.413,103.864639,Qualified; historical collapsed available; extract count available,,,,,,,,,68,13,11,10,,,,,,,,,,,,,,,,,,,,,现有路线计数填入 extract,,,,,,,,sample_reads_wide.tsv (v1); pipeline_reads_extract_besthit.tsv; irgsp_dedup_bam_reads.tsv,reported_in_cam_metadata,"sample_meta_data_20250922.tsv: field_sample_id@field_sample, latitude, longitude",Exact coordinate reported for Angkor core CAM23-13; independently reproduced in angkor_final_metadata.tsv
LV7001891118,angkor,LV7001891118,LV7005225811,ds,LV3005573865,CAM2201,74.5,,,,,,,"West Baray, Angkor","West Baray, Angkor; Cambodia",13.427556,103.766056,Qualified; historical collapsed available; extract count available,,,,,,,,,332,106,99,99,,,,,,,,,,,,,,,,,,,,,现有路线计数填入 extract,,,,,,,,sample_reads_wide.tsv (v1); pipeline_reads_extract_besthit.tsv; irgsp_dedup_bam_reads.tsv,reported_in_cam_metadata,"sample_meta_data_20250922.tsv: field_sample_id@field_sample, latitude, longitude",Exact coordinate reported for Angkor core CAM2201; independently reproduced in angkor_final_metadata.tsv
LV7001897155,angkor,LV7001897155,LV7005225793,ds,LV3005573882,CAM2201,68.5,,,,,,,"West Baray, Angkor","West Baray, Angkor; Cambodia",13.427556,103.766056,Qualified; historical collapsed available; extract count available,,,,,,,,,150,29,26,26,,,,,,,,,,,,,,,,,,,,,现有路线计数填入 extract,,,,,,,,sample_reads_wide.tsv (v1); pipeline_reads_extract_besthit.tsv; irgsp_dedup_bam_reads.tsv,reported_in_cam_metadata,"sample_meta_data_20250922.tsv: field_sample_id@field_sample, latitude, longitude",Exact coordinate reported for Angkor core CAM2201; independently reproduced in angkor_final_metadata.tsv
LV7001897394,angkor,LV7001897394,LV7005225802,ds,LV3005573872,CAM2201,71.5,,,,,,,"West Baray, Angkor","West Baray, Angkor; Cambodia",13.427556,103.766056,Qualified; historical collapsed available; extract count available,,,,,,,,,145,32,30,30,,,,,,,,,,,,,,,,,,,,,现有路线计数填入 extract,,,,,,,,sample_reads_wide.tsv (v1); pipeline_reads_extract_besthit.tsv; irgsp_dedup_bam_reads.tsv,reported_in_cam_metadata,"sample_meta_data_20250922.tsv: field_sample_id@field_sample, latitude, longitude",Exact coordinate reported for Angkor core CAM2201; independently reproduced in angkor_final_metadata.tsv
LV7001902859,angkor,LV7001902859,LV7005225810,ds,LV3005273227,CAM22-08,41,,,,,,,"Angkor Thom Temple Moat, Angkor","Angkor Thom Temple Moat, Angkor; Cambodia",13.42725,103.844722,Qualified; historical collapsed available; extract count available,,,,,,,,,12624,6320,5835,5791,,,,,,,,,,,,,,,,,,,,,现有路线计数填入 extract,,,,,,,,sample_reads_wide.tsv (v1); pipeline_reads_extract_besthit.tsv; irgsp_dedup_bam_reads.tsv,reported_in_cam_metadata,"sample_meta_data_20250922.tsv: field_sample_id@field_sample, latitude, longitude",Exact coordinate reported for Angkor core CAM22-08; independently reproduced in angkor_final_metadata.tsv
LV7001902952,angkor,LV7001902952,LV7005225786,ds,LV3005573877,CAM2201,73,,,,,,,"West Baray, Angkor","West Baray, Angkor; Cambodia",13.427556,103.766056,Qualified; historical collapsed available; extract count available,,,,,,,,,298,83,78,77,,,,,,,,,,,,,,,,,,,,,现有路线计数填入 extract,,,,,,,,sample_reads_wide.tsv (v1); pipeline_reads_extract_besthit.tsv; irgsp_dedup_bam_reads.tsv,reported_in_cam_metadata,"sample_meta_data_20250922.tsv: field_sample_id@field_sample, latitude, longitude",Exact coordinate reported for Angkor core CAM2201; independently reproduced in angkor_final_metadata.tsv
LV7001903276,angkor,LV7001903276,LV7005225830,ds,LV3005573870,CAM2201,70,,,,,,,"West Baray, Angkor","West Baray, Angkor; Cambodia",13.427556,103.766056,Qualified; historical collapsed available; extract count available,,,,,,,,,107,19,15,14,,,,,,,,,,,,,,,,,,,,,现有路线计数填入 extract,,,,,,,,sample_reads_wide.tsv (v1); pipeline_reads_extract_besthit.tsv; irgsp_dedup_bam_reads.tsv,reported_in_cam_metadata,"sample_meta_data_20250922.tsv: field_sample_id@field_sample, latitude, longitude",Exact coordinate reported for Angkor core CAM2201; independently reproduced in angkor_final_metadata.tsv
LV7001903292,angkor,LV7001903292,LV7005225823,ds,LV3005573876,CAM2201,67,,,,,,,"West Baray, Angkor","West Baray, Angkor; Cambodia",13.427556,103.766056,Qualified; historical collapsed available; extract count available,,,,,,,,,250,112,105,105,,,,,,,,,,,,,,,,,,,,,现有路线计数填入 extract,,,,,,,,sample_reads_wide.tsv (v1); pipeline_reads_extract_besthit.tsv; irgsp_dedup_bam_reads.tsv,reported_in_cam_metadata,"sample_meta_data_20250922.tsv: field_sample_id@field_sample, latitude, longitude",Exact coordinate reported for Angkor core CAM2201; independently reproduced in angkor_final_metadata.tsv
