sample	raw_bt2	raw_bwa	dedup_bt2	dedup_bwa	dup_rate_bt2	dup_rate_bwa	q30_bt2	q30_bwa	q30_diff	cov_bt2	cov_bwa	genehit_bt2	genehit_bwa	genehit_diff
LV6000619499	9487	22062	5931	14584	56.13	56.93	515	2332	1817	0.004	0.019	1	5	4
LV6000619917	13063	29594	8618	19845	64.34	59.14	681	3357	2676	0.005	0.027	1	13	12
LV6000620016	10023	32713	7664	21760	51.16	62.52	783	2946	2163	0.006	0.024	2	6	4
LV6000620032	14292	49872	11176	33047	50.47	65.83	1392	4218	2826	0.012	0.034	1	10	9
LV6000620166	25479	80536	18885	54175	59.11	70.93	1738	5873	4135	0.015	0.047	3	11	8
LV6000620172	13983	48871	10794	32272	49.61	64.66	1204	4229	3025	0.010	0.034	1	7	6
LV6000654686	9080	22662	5927	14804	55.47	50.26	634	3202	2568	0.005	0.026	1	4	3
LV6000654698	12899	42624	9696	28430	55.84	69.75	888	2995	2107	0.007	0.024	0	6	6
LV7008416272	15983	32858	12632	24176	57.55	43.40	645	3658	3013	0.005	0.028	1	7	6
LV7008416280	17879	26893	13690	21256	72.10	58.08	539	2373	1834	0.005	0.019	1	4	3
LV7008416294	12541	15985	9190	13069	74.70	60.00	184	1313	1129	0.001	0.010	1	2	1
LV7008416329	10077	27967	8253	19679	26.86	29.28	1060	3795	2735	0.010	0.031	2	9	7
LV7008416339	18243	37724	14188	27782	54.39	44.26	935	4128	3193	0.009	0.032	2	14	12
LV7008416349	22451	34288	17020	26913	69.40	55.84	891	3322	2431	0.009	0.028	2	10	8
LV7008416379	30241	45872	23210	36079	45.87	40.86	5136	8319	3183	0.053	0.077	18	21	3
LV7008416407	29497	55867	23190	42359	40.22	33.12	2109	7416	5307	0.019	0.057	5	22	17
