sample	raw_reads	dedup_total	dup_count	dup_rate_pct	dedup_q30	genome_meandepth	genome_pct_covered	gene_hit_reads
LV6000619499	9487	5931	3329	56.13	515	0.0000	0.004	1
LV6000619917	13063	8618	5545	64.34	681	0.0001	0.005	1
LV6000620016	10023	7664	3921	51.16	783	0.0001	0.006	2
LV6000620032	14292	11176	5640	50.47	1392	0.0001	0.012	1
LV6000620166	25479	18885	11163	59.11	1738	0.0002	0.015	3
LV6000620172	13983	10794	5355	49.61	1204	0.0001	0.010	1
LV6000654686	9080	5927	3288	55.47	634	0.0001	0.005	1
LV6000654698	12899	9696	5414	55.84	888	0.0001	0.007	0
LV7008416272	15983	12632	7270	57.55	645	0.0001	0.005	1
LV7008416280	17879	13690	9870	72.10	539	0.0000	0.005	1
LV7008416294	12541	9190	6865	74.70	184	0.0000	0.001	1
LV7008416329	10077	8253	2217	26.86	1060	0.0001	0.010	2
LV7008416339	18243	14188	7717	54.39	935	0.0001	0.009	2
LV7008416349	22451	17020	11812	69.40	891	0.0001	0.009	2
LV7008416379	30241	23210	10646	45.87	5136	0.0006	0.053	18
LV7008416407	29497	23190	9328	40.22	2109	0.0002	0.019	5
