sample	raw_reads	dedup_total	dup_count	dup_rate_pct	dedup_q30	genome_meandepth	genome_pct_covered	gene_hit_reads
LV6000619499	22062	14584	8302	56.93	2332	0.0002	0.019	5
LV6000619917	29594	19845	11737	59.14	3357	0.0003	0.027	13
LV6000620016	32713	21760	13604	62.52	2946	0.0002	0.024	6
LV6000620032	49872	33047	21755	65.83	4218	0.0004	0.034	10
LV6000620166	80536	54175	38424	70.93	5873	0.0005	0.047	11
LV6000620172	48871	32272	20867	64.66	4229	0.0004	0.034	7
LV6000654686	22662	14804	7441	50.26	3202	0.0003	0.026	4
LV6000654698	42624	28430	19829	69.75	2995	0.0003	0.024	6
LV7008416272	32858	24176	10492	43.40	3658	0.0003	0.028	7
LV7008416280	26893	21256	12345	58.08	2373	0.0002	0.019	4
LV7008416294	15985	13069	7841	60.00	1313	0.0001	0.010	2
LV7008416329	27967	19679	5762	29.28	3795	0.0003	0.031	9
LV7008416339	37724	27782	12297	44.26	4128	0.0004	0.032	14
LV7008416349	34288	26913	15028	55.84	3322	0.0003	0.028	10
LV7008416379	45872	36079	14741	40.86	8319	0.0009	0.077	21
LV7008416407	55867	42359	14031	33.12	7416	0.0007	0.057	22
