gene	LV6000619499	LV6000619917	LV6000620016	LV6000620032	LV6000620166	LV6000620172	LV6000654686	LV6000654698	LV7008416272	LV7008416280	LV7008416294	LV7008416329	LV7008416339	LV7008416349	LV7008416379	LV7008416407	total
LOC_Os06g08290|AID1	0	1	0	1	1	0	0	1	0	1	0	0	2	1	2	3	13
LOC_Os11g08410|OsGATA28	1	3	0	0	1	0	2	3	1	2	0	0	0	0	0	0	13
LOC_Os04g51000|RFL/APO2	1	0	0	0	0	0	0	0	1	0	0	2	0	1	1	2	8
LOC_Os07g01820|OsMADS15/DEP	0	1	0	0	1	0	0	1	0	0	0	0	3	0	2	0	8
LOC_Os08g07740|DTH8/Ghd8	0	1	1	0	1	0	0	0	0	0	0	1	1	0	0	3	8
LOC_Os01g08700|OsGI	1	0	1	0	0	0	0	0	0	0	0	1	0	1	2	1	7
LOC_Os07g49460|DTH7/OsPRR37	0	0	1	0	0	0	0	0	1	0	0	1	1	0	1	1	6
LOC_Os12g34850|OsVIL2	0	0	0	0	2	1	0	0	0	0	0	0	0	1	0	2	6
LOC_Os01g48800|OsPUP4/BG3	0	1	0	1	1	1	0	0	0	0	0	0	1	0	0	0	5
LOC_Os02g14720|GW2	0	1	0	1	0	1	0	0	0	0	0	0	0	1	1	0	5
LOC_Os09g31438|OsSPL17	0	0	1	1	0	0	0	0	1	0	0	0	0	0	2	0	5
LOC_Os01g45090|OsMYB8	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	1	4
LOC_Os02g40510|OsPRR1/TOC1	0	1	0	0	0	0	0	1	0	1	0	0	0	0	1	0	4
LOC_Os03g32314|OsAOC	2	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	4
LOC_Os05g02730|OsWOX3B	0	0	0	0	1	0	0	0	1	0	0	1	1	0	0	0	4
LOC_Os05g27730|OsWRKY53	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	1	4
LOC_Os05g51830|HDT701	0	0	1	0	0	0	0	0	0	0	0	1	1	1	0	0	4
LOC_Os01g16090|RBP-P	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	3
LOC_Os03g01840|PACP	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	3
LOC_Os07g13170|OsSNB	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	3
LOC_Os08g06110|OsCCA1/LHY	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	3
LOC_Os11g34190|OsChz1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	3
LOC_Os02g41954|OsGA2ox9	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2
LOC_Os03g51030|PHYA	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	2
LOC_Os04g46580|OsSPL7	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	2
LOC_Os04g52090|OsAP2-39	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	2
LOC_Os04g53606|OsSUI1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	2
LOC_Os05g45420|OsSnRK1A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2
LOC_Os09g38030|OsUgp1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	2
LOC_Os10g25780|Brd2/OsDWF1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	2
LOC_Os01g24880|OsIPI1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
LOC_Os01g42460|OsASI1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
LOC_Os02g45070|OsAGO1a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1
LOC_Os03g03990|OscpSRP43	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
LOC_Os03g11614|OsMADS1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1
LOC_Os03g54084|PHYC	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
LOC_Os03g57940|Hd16/EL1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1
LOC_Os06g16390|SDG711/OsCLF	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
LOC_Os07g15770|Ghd7	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
LOC_Os09g13630|OsEMF2b/GW9	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1
LOC_Os09g25490|OsCesA9	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1
LOC_Os12g38210|Spl11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1
